beginyear,medium,imageurl,decade,hex_color
1477,print,"https://api.nga.gov/iiif/5a7fb9b8-b6ad-4c15-8e88-6ee16fb6505d/full/!200,200/0/default.jpg",1470,"166, 149, 124"
1493,volume,"https://api.nga.gov/iiif/8329b6aa-2cb9-48ba-8ecd-49ba19a8779e/full/!200,200/0/default.jpg",1490,"142, 139, 109"
1489,sculpture,"https://api.nga.gov/iiif/63024ed7-ba7e-4a63-9ce4-d3978e0603ed/full/!200,200/0/default.jpg",1480,"59, 49, 39"
1499,sculpture,"https://api.nga.gov/iiif/6e59c09d-befc-4f48-9b3d-071a1a07aed0/full/!200,200/0/default.jpg",1490,"72, 52, 26"
1498,print,"https://api.nga.gov/iiif/664ed52d-2117-4768-a00a-0b03bf326051/full/!200,200/0/default.jpg",1490,"193, 178, 155"
1468,painting,"https://api.nga.gov/iiif/bbedbb38-f641-4efe-b27a-f2e1139508a7/full/!200,200/0/default.jpg",1460,"173, 134, 70"
1470,print,"https://api.nga.gov/iiif/bf1aadbb-ba8d-4e2a-9746-20be65b87f45/full/!200,200/0/default.jpg",1470,"210, 187, 153"
1460,print,"https://api.nga.gov/iiif/80dd008f-1f2f-41d5-ad48-19481c112bcb/full/!200,200/0/default.jpg",1460,"162, 142, 108"
1480,print,"https://api.nga.gov/iiif/26893e08-83d1-44e1-b230-0e746f03741d/full/!200,200/0/default.jpg",1480,"150, 136, 119"
1495,print,"https://api.nga.gov/iiif/427fe319-27b5-463b-9716-72ce5039a847/full/!200,200/0/default.jpg",1490,"199, 185, 164"
1470,sculpture,"https://api.nga.gov/iiif/807c1c2a-2f5b-4339-913b-f7123e952b23/full/!200,200/0/default.jpg",1470,"75, 55, 33"
1475,sculpture,"https://api.nga.gov/iiif/12d96f49-affe-43a1-8557-9e1c2879320f/full/!200,200/0/default.jpg",1470,"85, 70, 54"
1475,painting,"https://api.nga.gov/iiif/8297c11b-591d-4b1e-832b-ee2bb9bec53e/full/!200,200/0/default.jpg",1470,"89, 49, 31"
1450,sculpture,"https://api.nga.gov/iiif/cb2cf2c3-5fe3-4075-8ea6-1cbe14f0ebd5/full/!200,200/0/default.jpg",1450,"48, 38, 32"
1470,sculpture,"https://api.nga.gov/iiif/ffd48a0c-0104-404e-87fa-e01586d68208/full/!200,200/0/default.jpg",1470,"59, 42, 23"
1496,print,"https://api.nga.gov/iiif/ea446530-90ff-406b-a2e6-0bdb4a809af8/full/!200,200/0/default.jpg",1490,"218, 204, 184"
1446,sculpture,"https://api.nga.gov/iiif/869017ca-071c-44ec-84f2-d08f2b09513e/full/!200,200/0/default.jpg",1440,"47, 43, 38"
1450,print,"https://api.nga.gov/iiif/59e480a5-48ee-488e-ba9d-5cc4840f4541/full/!200,200/0/default.jpg",1450,"179, 166, 149"
1480,print,"https://api.nga.gov/iiif/cb930191-5481-47d0-b400-ab0708ad602a/full/!200,200/0/default.jpg",1480,"170, 138, 103"
1474,painting,"https://api.nga.gov/iiif/8f29e3c9-a289-4d53-abf0-31a66e9e98fa/full/!200,200/0/default.jpg",1470,"82, 72, 54"
1485,painting,"https://api.nga.gov/iiif/ffb111b5-5cc1-41f8-918f-c8a973709d0c/full/!200,200/0/default.jpg",1480,"112, 91, 76"
1441,sculpture,"https://api.nga.gov/iiif/7b4dae4a-d70a-4b04-851f-102be4b446a8/full/!200,200/0/default.jpg",1440,"50, 40, 31"
1490,print,"https://api.nga.gov/iiif/a91e8d26-f410-4704-8e16-96050dc6fe5e/full/!200,200/0/default.jpg",1490,"159, 141, 119"
