beginyear,medium,imageurl,decade,DominantColorRGB,PaletteRGB
1470,decorative art,"https://api.nga.gov/iiif/3323a3e7-8285-4ee5-9198-b44be814c05e/full/!200,200/0/default.jpg",1400,"(152, 147, 144)","(153, 149, 146), (81, 60, 51), (224, 221, 222), (90, 84, 78), (92, 76, 76)"
1470,sculpture,"https://api.nga.gov/iiif/53508d2c-ce7d-4ff6-94d6-64fff83a8bf1/full/!200,200/0/default.jpg",1400,"(79, 76, 71)","(79, 76, 71), (198, 198, 198), (131, 130, 127), (108, 99, 94), (111, 108, 99)"
1470,print,"https://api.nga.gov/iiif/75b461f3-5c2b-4144-b91c-cb71d3ddb423/full/!200,200/0/default.jpg",1400,"(154, 145, 137)","(154, 145, 137), (83, 75, 69), (232, 219, 205), (100, 84, 80), (100, 92, 76)"
1470,print,"https://api.nga.gov/iiif/cce9f475-f729-4be6-acb7-6c7e7dd7ef7d/full/!200,200/0/default.jpg",1800,"(210, 189, 168)","(214, 193, 172), (164, 147, 129), (130, 114, 98), (148, 124, 109), (149, 132, 108)"
1470,print,"https://api.nga.gov/iiif/34654450-75c6-4f2e-bbab-707eb9695dfe/full/!200,200/0/default.jpg",1600,"(200, 186, 162)","(201, 187, 163), (104, 93, 77), (147, 134, 116), (132, 116, 99), (134, 124, 100)"
1470,print,"https://api.nga.gov/iiif/d03625a7-ba9c-4111-a02e-8a9fe855dbeb/full/!200,200/0/default.jpg",1500,"(242, 232, 215)","(242, 232, 215), (129, 117, 99), (184, 171, 153), (160, 148, 132), (164, 156, 135)"
1470,print,"https://api.nga.gov/iiif/dcf6dd20-76d0-4986-868c-d015590a64f4/full/!200,200/0/default.jpg",1600,"(240, 229, 211)","(94, 85, 75), (240, 229, 211), (166, 156, 141), (141, 132, 114), (140, 132, 124)"
1470,print,"https://api.nga.gov/iiif/4d9ccc9d-01d6-48ac-966d-6ffe527922e6/full/!200,200/0/default.jpg",1700,"(213, 201, 186)","(215, 203, 188), (96, 93, 84), (150, 144, 133), (132, 116, 108), (132, 124, 108)"
1470,print,"https://api.nga.gov/iiif/09f19938-50a3-4247-bf3a-34bdb9c6ef78/full/!200,200/0/default.jpg",1700,"(189, 175, 150)","(191, 176, 151), (121, 110, 95), (91, 82, 68), (109, 91, 79), (116, 101, 74)"
1470,drawing,"https://api.nga.gov/iiif/e462f1c5-588d-4cf2-ab0a-f82c26907ce4/full/!200,200/0/default.jpg",1700,"(225, 207, 181)","(227, 209, 184), (133, 123, 107), (170, 157, 139), (156, 140, 123), (159, 148, 124)"
1470,decorative art,"https://api.nga.gov/iiif/528a2c1d-a7ef-40e0-b1bb-7a65f9888e2c/full/!200,200/0/default.jpg",1400,"(200, 200, 199)","(199, 199, 199), (59, 46, 42), (105, 83, 72), (128, 116, 112), (117, 102, 90)"
1470,print,"https://api.nga.gov/iiif/b7cb1f61-ceaa-4697-a64c-c3bbf3d8fdb0/full/!200,200/0/default.jpg",1600,"(187, 174, 158)","(187, 174, 158), (117, 106, 94), (143, 133, 120), (134, 124, 108), (132, 116, 106)"
1470,sculpture,"https://api.nga.gov/iiif/6821ea8e-767d-4550-9ab6-6729d667cef6/full/!200,200/0/default.jpg",1400,"(172, 165, 161)","(171, 165, 162), (146, 88, 58), (211, 144, 106), (83, 43, 23), (134, 100, 84)"
