beginyear,medium,imageurl
1884,drawing,"https://api.nga.gov/iiif/7d880d9b-f09e-443f-a5ba-854c01587bb9/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/2dc4537c-9af8-4b2e-9053-792bd091c24f/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/3ce3fca4-468c-4ee7-8bcd-9b46df1a83ae/full/!200,200/0/default.jpg"
1560,sculpture,"https://api.nga.gov/iiif/4fed4925-9f8b-4cd8-9881-5e91a933578a/full/!200,200/0/default.jpg"
1898,photograph,"https://api.nga.gov/iiif/efa3f52f-481c-4394-9c6e-9e3e9b5b42ac/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/61785be4-11f2-4542-b158-3edd19935b01/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/4b3e2522-b528-4a5a-9bbf-a207881ac0aa/full/!200,200/0/default.jpg"
1773,print,"https://api.nga.gov/iiif/7ce2e6fa-0bb8-4924-8c5f-6012d90fee63/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/1ab0d7a2-8a6c-4d70-bd1f-9ad55e64808d/full/!200,200/0/default.jpg"
1575,drawing,"https://api.nga.gov/iiif/532d20e4-3e33-40ca-9656-59a02aca14e4/full/!200,200/0/default.jpg"
1620,print,"https://api.nga.gov/iiif/d8bd335e-3dc1-4944-85a7-5294479ebed3/full/!200,200/0/default.jpg"
1800,drawing,"https://api.nga.gov/iiif/108d658f-cf66-4dd3-a4cc-c88262c873aa/full/!200,200/0/default.jpg"
1884,drawing,"https://api.nga.gov/iiif/7406dbd5-349d-43d3-9b63-812a84da675c/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/9a31aee7-6afb-4eb8-a64f-1f8fb6871c0d/full/!200,200/0/default.jpg"
1610,drawing,"https://api.nga.gov/iiif/23b43e13-e901-4e61-9071-a60b1a3761b6/full/!200,200/0/default.jpg"
1898,print,"https://api.nga.gov/iiif/c937d93e-7427-4633-a7ce-8cbf7c9b5e7b/full/!200,200/0/default.jpg"
1500,painting,"https://api.nga.gov/iiif/5ef4c2b2-4df1-43d0-aaac-21ee5bef1fcd/full/!200,200/0/default.jpg"
1897,print,"https://api.nga.gov/iiif/186561b1-16a4-4519-92ca-54eb3714e28b/full/!200,200/0/default.jpg"
1794,print,"https://api.nga.gov/iiif/797f010e-d604-46ee-b65c-ff1e31717a27/full/!200,200/0/default.jpg"
1520,drawing,"https://api.nga.gov/iiif/74052773-7ec3-4e18-839f-553bfaf7fc85/full/!200,200/0/default.jpg"
