beginyear,hex_color,imageurl
1469,#78c4b0,"https://api.nga.gov/iiif/f2069038-f6d1-46cf-8df3-e7fc806247da/full/!200,200/0/default.jpg"
1496,#c4ac84,"https://api.nga.gov/iiif/778125d1-dc13-4df6-9f07-45d990f4f6f6/full/!200,200/0/default.jpg"
1461,#789c3c,"https://api.nga.gov/iiif/a58abd26-aebf-436d-9598-2b75ecac5965/full/!200,200/0/default.jpg"
1464,#b8ac5c,"https://api.nga.gov/iiif/8b16ac57-9316-470c-b003-074f4e41cfb7/full/!200,200/0/default.jpg"
1468,#c8bc88,"https://api.nga.gov/iiif/06b84ca1-c2b0-416b-839e-4e67945ec0a7/full/!200,200/0/default.jpg"
1483,#a46830,"https://api.nga.gov/iiif/0eaa19e8-e3d2-4977-b528-006401cf4ddb/full/!200,200/0/default.jpg"
1490,#a4844c,"https://api.nga.gov/iiif/2309de78-75c4-4ca5-9d3f-bbe5fb4cc810/full/!200,200/0/default.jpg"
1463,#80c464,"https://api.nga.gov/iiif/447867fc-61af-47e1-8c90-17b571206bc9/full/!200,200/0/default.jpg"
1487,#703c90,"https://api.nga.gov/iiif/6f0bd457-8571-418b-8dee-f014090db76d/full/!200,200/0/default.jpg"
1448,#b85484,"https://api.nga.gov/iiif/eadc49ee-9051-4f1a-b02a-1d8b26e08f99/full/!200,200/0/default.jpg"
1479,#ac3890,"https://api.nga.gov/iiif/d996d4a8-5b1f-4407-8f85-868b2d9a6b2b/full/!200,200/0/default.jpg"
1493,#d8a858,"https://api.nga.gov/iiif/92bb62b5-a49c-47ae-a34c-742ba1c2c633/full/!200,200/0/default.jpg"
1419,#cc7848,"https://api.nga.gov/iiif/6b14f203-e207-4aed-b79b-f6b5d0a648d9/full/!200,200/0/default.jpg"
1429,#cc78b0,"https://api.nga.gov/iiif/7b058e31-e2d4-4db1-b1a6-26ffaaac40c4/full/!200,200/0/default.jpg"
1468,#d4b064,"https://api.nga.gov/iiif/a90da2b1-5ae9-41fb-91d8-79621991daf0/full/!200,200/0/default.jpg"
1453,#9c6035,"https://api.nga.gov/iiif/6f4721ae-ecfa-4dd5-85d3-8b116ae5db85/full/!200,200/0/default.jpg"
1473,#4c4090,"https://api.nga.gov/iiif/c1e1b7e2-292d-4584-86cc-320e62f76081/full/!200,200/0/default.jpg"
1444,#dc8c4f,"https://api.nga.gov/iiif/e124a0b3-b033-4a42-a456-7b974501617d/full/!200,200/0/default.jpg"
1462,#cc685c,"https://api.nga.gov/iiif/a88b1a65-aaff-40b9-8d83-a6235988267a/full/!200,200/0/default.jpg"
