beginyear,hex_color,imageurl,closest_color
1496,#ae3d26,"https://api.nga.gov/iiif/7565a449-f82a-414b-9bda-c93f55a51b4d/full/!200,200/0/default.jpg",#a52a2a
1500,#755e2e,"https://api.nga.gov/iiif/b1cc197e-ee03-4725-ac6d-049b8007d867/full/!200,200/0/default.jpg",#556b2f
1500,#a47643,"https://api.nga.gov/iiif/5ad6aa5a-2908-4db6-96f3-2866e0a2c754/full/!200,200/0/default.jpg",#a0522d
1500,#cc8f5a,"https://api.nga.gov/iiif/1ecf0487-06e6-4236-85c3-8f9d55da908c/full/!200,200/0/default.jpg",#cd853f
1500,#d0996c,"https://api.nga.gov/iiif/7f89c7c7-a5cf-499d-a7ab-d2aa33e360d1/full/!200,200/0/default.jpg",#e9967a
1500,#a1481c,"https://api.nga.gov/iiif/8d5e54e2-78be-4d80-b526-700e9746916e/full/!200,200/0/default.jpg",#a0522d
1500,#b74f33,"https://api.nga.gov/iiif/072919d5-cf19-4605-8c9c-a85267f9ca96/full/!200,200/0/default.jpg",#a0522d
1500,#916043,"https://api.nga.gov/iiif/5ef4c2b2-4df1-43d0-aaac-21ee5bef1fcd/full/!200,200/0/default.jpg",#a0522d
1500,#a97b3a,"https://api.nga.gov/iiif/cb225bd2-9148-4095-886c-5a2687bcb9e8/full/!200,200/0/default.jpg",#cd853f
1500,#b89363,"https://api.nga.gov/iiif/e2ff91db-d62b-4d10-9aaf-1d36eeac2f46/full/!200,200/0/default.jpg",#bdb76b
1500,#a87749,"https://api.nga.gov/iiif/b74c5e03-5803-4767-943c-63d22706885e/full/!200,200/0/default.jpg",#cd853f
1500,#946c3c,"https://api.nga.gov/iiif/85bacc8a-0532-4156-8062-020e2f9afaa1/full/!200,200/0/default.jpg",#a0522d
1500,#8e6835,"https://api.nga.gov/iiif/77dddf7e-0735-425a-a1cf-e47c8b7b7f92/full/!200,200/0/default.jpg",#a0522d
1500,#90b048,"https://api.nga.gov/iiif/dd6589b3-550f-4d77-8628-422fa53430b1/full/!200,200/0/default.jpg",#9acd32
1500,#a2623f,"https://api.nga.gov/iiif/7b1264b8-bb06-4d2a-992b-75bf1a3a5126/full/!200,200/0/default.jpg",#a0522d
1500,#886e35,"https://api.nga.gov/iiif/187aebc3-ef48-4f5f-8dd2-8b5c74b298ab/full/!200,200/0/default.jpg",#a0522d
1500,#be4707,"https://api.nga.gov/iiif/84566465-2c6a-4fd1-b933-9fb84f0cb3df/full/!200,200/0/default.jpg",#d2691e
1500,#a13807,"https://api.nga.gov/iiif/8fbd2f18-6086-43b3-8076-ae850dd13393/full/!200,200/0/default.jpg",#8b4513
1500,#a88448,"https://api.nga.gov/iiif/c92d6b81-1ce2-485f-82ca-5532addb981d/full/!200,200/0/default.jpg",#cd853f
1500,#b13b07,"https://api.nga.gov/iiif/4494e5c4-1d38-42fa-9386-ececec527697/full/!200,200/0/default.jpg",#b22222
