beginyear,vibrant,LightVibrant,closest_color,Muted,LightMuted,DarkMuted,Image URL
1475,#8f6b2d,#bc7464,#604c2c,#a8755d,#abb29c,#50442b,"https://api.nga.gov/iiif/17b4aa42-79e9-4356-8231-9299f1c3a279/full/!200,200/0/default.jpg"
1475,#946424,,#946424,,,,"https://api.nga.gov/iiif/e2dd819e-1abc-4613-9c65-0753a34ad85e/full/!200,200/0/default.jpg"
1475,#e05c98,#d4bc84,#6c302e,#978d65,#b2a87e,#6c4e3c,"https://api.nga.gov/iiif/4f1c0f86-404b-41f3-81e3-75a35fea96eb/full/!200,200/0/default.jpg"
1475,#bc2c1e,#e4c49c,#135662,#a18b68,#d3c4af,#50412c,"https://api.nga.gov/iiif/a997ad6a-1d3e-4c25-857c-ae565189ee70/full/!200,200/0/default.jpg"
1475,#ac6c3c,#d8c29d,#143434,#bca585,#c7be9f,#1c3c3c,"https://api.nga.gov/iiif/66836f2b-7a47-4b9a-b2de-1349f32e4c47/full/!200,200/0/default.jpg"
1475,#9c8347,#baa461,#68461c,#a99558,,,"https://api.nga.gov/iiif/bfb0a807-b4bd-467a-b4ab-532d8898057b/full/!200,200/0/default.jpg"
1475,#c45c1c,#da844c,#763c09,#a57c5c,,,"https://api.nga.gov/iiif/9d7fd726-6565-49b5-ae42-fd8f570fbf08/full/!200,200/0/default.jpg"
1475,#b96e32,#dc8c46,#844820,#a4744c,,,"https://api.nga.gov/iiif/ce0ccbec-f4e6-4d7e-af41-e0b568f726eb/full/!200,200/0/default.jpg"
1475,#cb6929,#c87f51,#673013,#a77854,,,"https://api.nga.gov/iiif/a3bbffa3-3e50-465a-832a-fff278cd945c/full/!200,200/0/default.jpg"
1475,#b56e39,#e18845,#66381f,#805c3c,,,"https://api.nga.gov/iiif/b862fdfb-bb90-45fe-9456-5f02a84bc6bc/full/!200,200/0/default.jpg"
1476,#a24b16,#ccb68a,#84340a,#9b9575,#bcab82,#5a462f,"https://api.nga.gov/iiif/1e63614c-3a9d-4b84-9841-198e08fcef97/full/!200,200/0/default.jpg"
1476,#a03c28,#d3ba89,#226483,#9b8869,#c6ccbd,#5b4c34,"https://api.nga.gov/iiif/d30baae3-1061-412e-afe4-f1201ed6a5ad/full/!200,200/0/default.jpg"
1477,#ac7b4e,,#ac7b4e,,,,"https://api.nga.gov/iiif/fa1013ab-042d-4b6b-8b29-cc2eac0b4dc1/full/!200,200/0/default.jpg"
1478,#a17c4c,#dc948c,#6b4811,#8a764d,#a3c5c3,#4e4629,"https://api.nga.gov/iiif/0fd27212-b70a-4a0b-9e7c-ed0d8bbe7ebf/full/!200,200/0/default.jpg"
1478,#881520,#d4ac5c,#700b1b,#8b907b,#bcac8e,#59472f,"https://api.nga.gov/iiif/6ef2731f-05c7-422c-be03-c49b37112e66/full/!200,200/0/default.jpg"
1479,#a04440,,#a04440,,,,"https://api.nga.gov/iiif/c4823e40-c213-4d32-a42b-56bd2330a6c5/full/!200,200/0/default.jpg"
1480,#bd8240,#d6924a,#792c1c,#837e5c,,,"https://api.nga.gov/iiif/f38f8f22-620e-4ff3-a2bf-22b719002e17/full/!200,200/0/default.jpg"
1480,#af7f52,#dbac7c,#68401c,#9e7c50,#b4a484,#493422,"https://api.nga.gov/iiif/2ea2d362-7c35-4819-860d-d3c7de2db4b8/full/!200,200/0/default.jpg"
