Begin Year,Vibrant,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,Image URL
1847,"#bc5044","#f4ecdc","#612922","#847b6f","#dbcebc","#534c48","https://api.nga.gov/iiif/35b424c3-4493-422e-9bfd-d361aaaea00b/full/!200,200/0/default.jpg"
1510,"#347cac","#d3b99e","#0c3c7c","#5e8aab","#d5d1c2","#644d38","https://api.nga.gov/iiif/7bd41f44-448a-4b1f-9723-831809aa0779/full/!200,200/0/default.jpg"
1837,"#d07464","#fceccf","#65291e","#877967","#cfc0a6","#6c6054","https://api.nga.gov/iiif/2da61c76-fd6b-426a-ba65-531bfd4957ff/full/!200,200/0/default.jpg"
1800,"#dcb446","#e1c482","#6f5715","#a69274","#d4cab0","#837159","https://api.nga.gov/iiif/abf0c04d-bfc8-4005-8772-d624809055d9/full/!200,200/0/default.jpg"
1495,"#d0d878","#ecdbc1","#60661d","#948474","#cdbca5","#60534c","https://api.nga.gov/iiif/ec77b379-0044-4be4-a137-84dfe7784472/full/!200,200/0/default.jpg"
1475,"#c9b426",,,,,,"https://api.nga.gov/iiif/aab99c65-8857-44e0-81b7-e1fa14086128/full/!200,200/0/default.jpg"
1628,"#72462c",,,,,,"https://api.nga.gov/iiif/cf211653-dd1c-43af-b58f-f9de48bc7196/full/!200,200/0/default.jpg"
1837,"#d49e18","#e0b848","#754212","#b79b7c","#d1c9c0","#43382a","https://api.nga.gov/iiif/ae2c0b18-f8d3-4e0a-9f29-3c5d1e80ab99/full/!200,200/0/default.jpg"
1600,"#d47f2a",,,,,,"https://api.nga.gov/iiif/32d18018-880c-4a06-8621-2886da2f9551/full/!200,200/0/default.jpg"
1550,"#cca85c","#cca85c","#644e1f","#94846c","#ccb89f","#594c40","https://api.nga.gov/iiif/739fd0d9-36aa-4249-8fb9-5fc8f4ca4110/full/!200,200/0/default.jpg"
1886,"#ccbc44","#fce4c4","#685f1c","#a69174","#c7b18f","#4c3f36","https://api.nga.gov/iiif/f1e739a2-f37b-43e7-9127-fd45077d097c/full/!200,200/0/default.jpg"
1500,"#bf3f3f",,,,,,"https://api.nga.gov/iiif/ab49a3c4-d866-4143-9861-e7917f6a935a/full/!200,200/0/default.jpg"
1475,"#b2623d","#e0c48f","#b0542c","#ad8856","#c9b18d","#86693a","https://api.nga.gov/iiif/90ec4892-5f49-4aae-b331-34d972760125/full/!200,200/0/default.jpg"
1894,"#e4c87c","#ecd4ac","#6d5616","#9c8a6f","#d4bca4",,"https://api.nga.gov/iiif/247c33d2-a886-4c9e-b83c-4e36d687e337/full/!200,200/0/default.jpg"
1894,"#ca9565","#dca06b","#744c33","#a47c5c","#bca484","#6c4b34","https://api.nga.gov/iiif/80911277-ad6e-41d9-927f-e567da010856/full/!200,200/0/default.jpg"
1836,"#78c4ac","#fcecd4","#285c4b","#9c7c60","#dcdac0","#62584b","https://api.nga.gov/iiif/3bee42a1-a5ab-4816-a70b-294aaf1386a8/full/!200,200/0/default.jpg"
1896,"#d47c60","#f4dcac","#682e1c","#ab9574","#c3ac84",,"https://api.nga.gov/iiif/b57eddfa-eb49-45be-8039-ffb8fcf1d89c/full/!200,200/0/default.jpg"
1662,"#50bcb0",,,,,,"https://api.nga.gov/iiif/3c58dd9e-1e7a-4728-a694-5faf5acf7539/full/!200,200/0/default.jpg"
1635,"#60a848","#d4bea4","#355c27","#938473","#d4c3ac","#493f32","https://api.nga.gov/iiif/898a457e-34ed-4f2b-9ba0-3688c1b3c03f/full/!200,200/0/default.jpg"
1470,"#38989c",,,,,,"https://api.nga.gov/iiif/07a35482-10bd-4e85-b26c-b3e3ed266e9b/full/!200,200/0/default.jpg"
1799,"#bc5444","#ece2d3","#612b22","#5c509c","#bcac9c","#484030","https://api.nga.gov/iiif/ae60ea0a-9ccf-4e2d-81ef-4c83bd217509/full/!200,200/0/default.jpg"
1740,"#d0d46c","#e4d3ba","#63661e","#93846c","#d5c5ac","#534941","https://api.nga.gov/iiif/61731c1b-c66e-4d62-88a4-719062e3085e/full/!200,200/0/default.jpg"
1774,"#d8c460","#fcecd6","#6a5d1a","#897c6b","#ccbaa2","#5e5448","https://api.nga.gov/iiif/2929bcae-ddaf-4e84-a95b-fb15490b2a75/full/!200,200/0/default.jpg"
1890,"#cc5c50","#fcecd6","#66241d","#80796b","#ccc4ac","#393731","https://api.nga.gov/iiif/e350699b-f87d-469e-9dbe-23cea03d89f4/full/!200,200/0/default.jpg"
1896,"#d0786c","#f4e7d2","#642820","#8f8373","#cfc2ad","#6f6359","https://api.nga.gov/iiif/2c5abdd9-c7a1-4c25-aa9f-f0e331deec33/full/!200,200/0/default.jpg"
1837,"#d8cc6c","#ecdcbc","#68601b","#9c8c74","#d4c4a5","#78695c","https://api.nga.gov/iiif/f1e3a089-8af4-48c5-ab21-cfb558b16ae2/full/!200,200/0/default.jpg"
1888,"#d0684c","#ecd4b0","#692c1b","#ab9473","#d4c4a4","#605038","https://api.nga.gov/iiif/d6f42a53-8c4f-4824-bdb6-9c8f5cc40d17/full/!200,200/0/default.jpg"
1600,"#8f6444",,,,,,"https://api.nga.gov/iiif/48932959-54b6-485d-8644-db61eaad912b/full/!200,200/0/default.jpg"
1837,"#e8c06c","#f2e7ca","#725311","#94846c","#d4c4a6","#584f45","https://api.nga.gov/iiif/285dc049-f73c-4660-9779-2da38fc19677/full/!200,200/0/default.jpg"
1525,"#cc3249",,,,,,"https://api.nga.gov/iiif/3ac341fa-b63c-4db5-ae15-990a5ebc419d/full/!200,200/0/default.jpg"
1622,"#d8bc5c","#f4dcbc","#6a5819","#a48c6c","#d4c4a4","#685c4a","https://api.nga.gov/iiif/6bfcaf06-a04b-49db-8574-c2d1adec259e/full/!200,200/0/default.jpg"
1500,"#d47f2a",,,,,,"https://api.nga.gov/iiif/0c289c97-2cfe-4c93-9de3-8445fa396813/full/!200,200/0/default.jpg"
1837,"#c8d068","#fcecd4","#5f651f","#94846e","#d4c4a6","#564b43","https://api.nga.gov/iiif/d6c44242-0892-4d28-b768-e3b1d12e411d/full/!200,200/0/default.jpg"
