beginyear,medium,imageurl
1800,print,"https://api.nga.gov/iiif/f77ce5e0-3232-42ca-b458-04f940cd2e98/full/!200,200/0/default.jpg"
1804,painting,"https://api.nga.gov/iiif/e6638594-4e6c-424a-95e5-b412b08aff95/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/e55ec85a-7970-48ee-8f65-5b905c15f4fb/full/!200,200/0/default.jpg"
1576,print,"https://api.nga.gov/iiif/709d3e09-8ec6-4b03-b20a-de21d69988b6/full/!200,200/0/default.jpg"
1883,portfolio,"https://api.nga.gov/iiif/6dd8d7f7-06ae-49e6-98ba-e443c5a2e65a/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/d48113f5-84d3-46a7-b302-ef870a63261a/full/!200,200/0/default.jpg"
1900,print,"https://api.nga.gov/iiif/26ec7117-ddf1-4cef-bdfc-034aa3ddeaa6/full/!200,200/0/default.jpg"
1876,drawing,"https://api.nga.gov/iiif/9d63a71d-b0cb-4879-ba0b-44cc7ee6ea6f/full/!200,200/0/default.jpg"
1882,sculpture,"https://api.nga.gov/iiif/8e4c8f3b-9e61-48c7-8f57-f16a3ba608a7/full/!200,200/0/default.jpg"
1475,sculpture,"https://api.nga.gov/iiif/77e93cf9-e452-4683-9948-4f25b64ff426/full/!200,200/0/default.jpg"
1505,print,"https://api.nga.gov/iiif/eb09804f-6425-4d6f-a9da-e2b3125cb69e/full/!200,200/0/default.jpg"
1500,sculpture,"https://api.nga.gov/iiif/e2a06dca-c0fd-460e-97f6-913103b8d3d0/full/!200,200/0/default.jpg"
1600,print,"https://api.nga.gov/iiif/8c1aec8b-d77c-408f-831a-2d8a17a60912/full/!200,200/0/default.jpg"
1884,painting,"https://api.nga.gov/iiif/0794483c-b8c5-462c-b2a3-363696c7bad4/full/!200,200/0/default.jpg"
1862,print,"https://api.nga.gov/iiif/5549457e-c2bf-4edd-ac11-b249b8070367/full/!200,200/0/default.jpg"
1475,sculpture,"https://api.nga.gov/iiif/665ab661-1bc6-4bb2-b137-b362467370b9/full/!200,200/0/default.jpg"
1837,print,"https://api.nga.gov/iiif/aa104600-f00b-4e00-aa56-72ea89e09725/full/!200,200/0/default.jpg"
1850,painting,"https://api.nga.gov/iiif/41e3f080-e1ea-41e7-8fed-332784da23dc/full/!200,200/0/default.jpg"
1500,print,"https://api.nga.gov/iiif/f0c903bc-b011-4682-98f8-48efd8509e38/full/!200,200/0/default.jpg"
1800,print,"https://api.nga.gov/iiif/edc2e2e0-0479-4bc3-b58a-13147118c0b1/full/!200,200/0/default.jpg"
1860,volume,"https://api.nga.gov/iiif/38249f9e-35bc-457d-9926-ee487b4ec893/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/0a13abd5-388b-42ee-883a-7f4c4542b87f/full/!200,200/0/default.jpg"
1887,photograph,"https://api.nga.gov/iiif/b15b5968-d80d-41ee-8cdc-e0e5d0b5faaa/full/!200,200/0/default.jpg"
1617,print,"https://api.nga.gov/iiif/983c8071-3e2a-4abd-b642-87d1a5ccb013/full/!200,200/0/default.jpg"
