beginyear,hex_color,LightVibrant,DarkVibrant,Muted,LightMuted,DarkMuted,imageurl
1470,"#af6f4f","#dcc4a4","#2c1c14","#a49c90","#cab8a5","#483c2f","https://api.nga.gov/iiif/fdf26cc9-7fc7-4e8d-8682-dd99b891615f/full/!800,800/0/default.jpg"
1480,"#b46c40","#c4855a","#936441","#a98461","#c4c4c4","#433d2a","https://api.nga.gov/iiif/1f4431a5-f06b-4048-8692-b0eef7a29808/full/!800,800/0/default.jpg"
1475,"#9c6444","#bc8c6c","#604c2c","#8d755b","#c6b2a2","#59503e","https://api.nga.gov/iiif/7e1b3b87-2065-455a-aa9a-de4ca8d41f95/full/!800,800/0/default.jpg"
1500,"#bc4c44",,,,,,"https://api.nga.gov/iiif/b1cc197e-ee03-4725-ac6d-049b8007d867/full/!800,800/0/default.jpg"
1472,"#7c5c2c","#e1cca3","#644d2c","#a0865f","#b99f72","#543f31","https://api.nga.gov/iiif/e36de80b-e494-4c81-adfd-dfaef8b04dbb/full/!800,800/0/default.jpg"
1500,"#a430a4",,,,,,"https://api.nga.gov/iiif/3fc238e8-5a6c-4133-b4eb-02e1473456aa/full/!800,800/0/default.jpg"
1475,"#cb9d46","#e7cc82","#976013","#af8856","#bc9474","#654434","https://api.nga.gov/iiif/810cea1c-5517-4f2a-b805-dfe44a9da4a7/full/!800,800/0/default.jpg"
1485,"#7c5424",,,,,,"https://api.nga.gov/iiif/79fcb09d-024a-4f17-9652-e89441e8f916/full/!800,800/0/default.jpg"
1475,"#ac6c38",,,,,,"https://api.nga.gov/iiif/f8cb4690-edcd-4e6f-95fc-f7017ca6c3e5/full/!800,800/0/default.jpg"
1460,"#d5ac4c","#e4d4b3","#7b5a23","#9c8c75","#d4c4a8","#52402f","https://api.nga.gov/iiif/15037442-b6f1-4ae8-a41b-11295889a550/full/!800,800/0/default.jpg"
1475,"#9c6c44",,,,,,"https://api.nga.gov/iiif/7074d26e-5a6b-4fe4-b1f3-88beb66c4201/full/!800,800/0/default.jpg"
1475,"#ac7f52",,,,,,"https://api.nga.gov/iiif/b6163c3d-c267-4ed1-887e-6caba237630d/full/!800,800/0/default.jpg"
1800,"#c05cac","#ece4d4","#5f2453","#8b857e","#c5bbb1","#4a4842","https://api.nga.gov/iiif/4065b2fe-ba98-4616-9cb8-28b1934497fd/full/!800,800/0/default.jpg"
1475,"#a47c4c","#d6bda6","#603e23","#a47452","#d0b592","#644a37","https://api.nga.gov/iiif/ddb06d80-6cfc-4d4e-ae22-dd6a4bf364ed/full/!800,800/0/default.jpg"
1470,"#a45416","#d3ae83","#7c3408","#b28661",,,"https://api.nga.gov/iiif/4f671e0a-7503-4a77-87b1-0ec7ef2b6b22/full/!800,800/0/default.jpg"
1470,"#bc4844","#ecdcc3","#612522","#817668","#ccbca6","#655b52","https://api.nga.gov/iiif/5b4bc2ba-e732-428e-ab08-43e68183af79/full/!800,800/0/default.jpg"
1470,"#b68d44","#e4bc84","#5b3d1c","#9c8164","#c9b08e","#594330","https://api.nga.gov/iiif/4d712296-2240-4fef-8da3-fb9ad3d8fb3c/full/!800,800/0/default.jpg"
1475,"#bf895f","#ddc4ac","#632b1e","#608aa0","#ccc2ae","#2c3c4a","https://api.nga.gov/iiif/f0155917-ea57-444f-b3ed-d798b9dd942d/full/!800,800/0/default.jpg"
1475,"#a47c3c","#d4c09a","#6c4724","#ad9168","#c2ac80","#483729","https://api.nga.gov/iiif/881c8540-c46b-4613-80e6-0f38c77e791a/full/!800,800/0/default.jpg"
1470,"#bb9665","#e4c89f","#74481c","#9c7c51","#ccb798","#4c3e34","https://api.nga.gov/iiif/62c7b35b-a5ac-4bdb-a59a-5eae6247eb5d/full/!800,800/0/default.jpg"
1475,"#7c4c24","#e4caae","#4c2c04","#a98454","#d4ccb4","#5f4736","https://api.nga.gov/iiif/620a5d8d-1f45-48c5-ba2b-cd257a80c68e/full/!800,800/0/default.jpg"
1475,"#c13d22","#e8d9bf","#105967","#a48f70","#aac8cd","#584b34","https://api.nga.gov/iiif/a997ad6a-1d3e-4c25-857c-ae565189ee70/full/!800,800/0/default.jpg"
1475,"#744c34",,,,,,"https://api.nga.gov/iiif/78a87952-bf7a-4858-9eee-82357bf4a84c/full/!800,800/0/default.jpg"
1475,"#dd8c55","#edb989","#7c4414","#9e6b46","#c4ac7a","#543c2c","https://api.nga.gov/iiif/2f2b5198-1116-4cad-8c1d-868641b7247a/full/!800,800/0/default.jpg"
1480,"#b48454","#cca485","#5c4228","#ac8c64","#c4c4c4","#51453c","https://api.nga.gov/iiif/b26ec3d1-3d54-4a98-af5d-ebc9b02b124f/full/!800,800/0/default.jpg"
